"country","city","date","congestion","driving","transit","walking","retail_and_recreation","grocery_and_pharmacy","parks","transit_stations","workplaces","residential","commercial","utilities","other"
"Austria","Graz",2019-12-30,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,50,1
"Austria","Vienna",2019-12-30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,51,1
"Belgium","Brussels",2019-12-30,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,50,1
"Belgium","Charleroi",2019-12-30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,52,1
"Czechia","Brno",2019-12-30,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,51,1
"Czechia","Prague",2019-12-30,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,65,1
"Denmark","Copenhagen",2019-12-30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,52,1
"Estonia","Tallinn",2019-12-30,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,50,1
"Finland","Helsinki",2019-12-30,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,51,1
"France","Grenoble",2019-12-30,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,53,1
"France","Lille",2019-12-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,50,1
"France","Paris",2019-12-30,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,50,1
"Germany","Berlin",2019-12-30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,50,1
"Germany","Bremen",2019-12-30,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,53,1
"Germany","Cologne",2019-12-30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,51,1
"Germany","Dresden",2019-12-30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,50,1
"Germany","Munich",2019-12-30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,50,1
"Greece","Athens",2019-12-30,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,51,1
"Hungary","Budapest",2019-12-30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,51,1
"Ireland","Cork",2019-12-30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,51,1
"Ireland","Dublin",2019-12-30,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,51,1
"Italy","Bologna",2019-12-30,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,59,1
"Italy","Catania",2019-12-30,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,52,1
"Italy","Milan",2019-12-30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,50,1
"Italy","Rome",2019-12-30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,53,1
"Netherlands","Eindhoven",2019-12-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,51,1
"Netherlands","Groningen",2019-12-30,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,53,1
"Poland","Krakow",2019-12-30,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,52,1
"Poland","Poznan",2019-12-30,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,54,1
"Portugal","Lisbon",2019-12-30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,51,1
"Portugal","Porto",2019-12-30,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,102,50,1
"Romania","Bucharest",2019-12-30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,50,1
"Spain","Alicante",2019-12-30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,51,1
"Spain","Barcelona",2019-12-30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,51,1
"Spain","Madrid",2019-12-30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,51,1
"Spain","Malaga",2019-12-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,50,1
"Spain","Seville",2019-12-30,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,52,1
"Sweden","Gothenburg",2019-12-30,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,51,1
"Sweden","Malmo",2019-12-30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,50,1
"Sweden","Stockholm",2019-12-30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,51,1
"Austria","Graz",2019-12-31,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,51,1
"Austria","Vienna",2019-12-31,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,52,1
"Belgium","Brussels",2019-12-31,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,51,1
"Belgium","Charleroi",2019-12-31,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,51,1
"Czechia","Brno",2019-12-31,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,52,1
"Czechia","Prague",2019-12-31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,51,1
"Denmark","Copenhagen",2019-12-31,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,51,1
